RCV_PROJECT,RECEIVER,ACTIVATION_YEAR,ACTIVATION_MONTH,ACTIVATION_DAY,ACTIVATION_TIME,STATION_NAME,DEPLOY_YEAR,DEPLOY_MONTH,DEPLOY_DAY,DEPLOY_TIME,DEPLOY_LAT,DEPLOY_LONG,VALID_DATA_UNTIL_YEAR,VALID_DATA_UNTIL_MONTH,VALID_DATA_UNTIL_DAY,VALID_DATA_UNTIL_TIME,RECOVER_YEAR,RECOVER_MONTH,RECOVER_DAY,RECOVER_TIME,ACOUSTIC_RELEASE_NUMBER,SPECIES_PREFERENCES,ADDITIONAL_CLASSIFIER,AMPLIFIER_SENSIVITY,HYDROPHONE_SENSIVITY,RECORDING_NAME,HYDROPHONE_CABLE_LENGTH,SAMPLE_RATE,MOORING_TYPE,BATTERY_END_YEAR,BATTERY_END_MONTH,BATTERY_END_DAY,DOWNLOAD_YEAR,DOWNLOAD_MONTH,DOWNLOAD_DAY,DOWNLOAD_TIME,COMMENTS
123456789,C-POD-912,2022,4,29,8:43:00,KF2,2022,5,6,10:48:00,55.68079,10.98065,2022,10,12,9:05:00,2022,10,12,9:05:00,1623,,,,,KF2O,2,,bottom-mooring,2022,9,23,2022,10,13,9:00:00,
123456789,C-POD-1598,2022,4,29,9:23:00,KF4,2022,5,6,10:09:00,55.709053,10.91136,2022,10,12,10:23:00,2022,10,12,10:23:00,1233,,,,,KF4O,2,,bottom-mooring,2022,10,12,2022,10,13,9:00:00,
123456789,C-POD-1595,2022,4,29,9:14:00,KF5,2022,5,6,10:26:00,55.70954,10.96002,2022,10,12,10:41:00,2022,10,12,10:41:00,1790,,,,,KF5O,2,,bottom-mooring,2022,10,12,2022,10,13,9:00:00,
123456789,F-POD-6609,2022,12,2,9:14:00,TREV2,2022,12,6,10:57:00,55.78542,12.64561,2022,12,27,0:00:00,2022,12,27,0:00:00,910,,,,,TREV2A,2,,bottom-mooring,2022,12,23,2023,1,9,9:00:00,
123456789,F-POD-6604,2022,12,2,0:00:00,TREV3A,2022,12,6,11:14:00,55.78669,12.6436,2023,5,12,10:44:00,2023,5,12,10:44:00,1608,,,,,TREV3A,2,,bottom-mooring,2023,5,22,2023,5,22,8:00:00,
123456789,F-POD-6601,2022,12,2,10:23:00,TREV32OOA,2022,12,6,12:48:00,55.81586,12.62955,2023,5,12,13:04:00,2023,5,12,13:04:00,156,,,,,TREV32OOA,2,,bottom-mooring,2023,5,22,2023,5,22,8:00:00,
2222,F-POD-6604,2022,12,2,0:00:00,TREV3A,2022,12,6,11:14:00,55.78669,12.6436,2023,5,12,10:44:00,2023,5,12,10:44:00,1608,,,,,TREV3A,2,,bottom-mooring,2023,5,22,2023,5,22,8:00:00,
2222,F-POD-6601,2022,12,2,10:23:00,TREV32OOA,2022,12,6,12:48:00,55.81586,12.62955,2023,5,12,13:04:00,2023,5,12,13:04:00,156,,,,,TREV32OOA,2,,bottom-mooring,2023,5,22,2023,5,22,8:00:00,
