RCV_PROJECT,RECEIVER,ACTIVATION_DATE_TIME,STATION_NAME,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,VALID_DATA_UNTIL_DATE_TIME,RECOVER_DATE_TIME,ACOUSTIC_RELEASE_NUMBER,SPECIES_PREFERENCES,ADDITIONAL_CLASSIFIER,AMPLIFIER_SENSIVITY,HYDROPHONE_SENSIVITY,RECORDING_NAME,HYDROPHONE_CABLE_LENGTH,SAMPLE_RATE,MOORING_TYPE,BATTERY_END_DATE,DOWNLOAD_DATE_TIME,COMMENTS
123456789,912,4/29/2022 8:43,KF2,5/6/2022 10:48,55.68079,10.98065,10/12/2022 9:05,10/12/2022 9:05,1623,,,,,KF2O,2,,Bottom mooring,9/23/2022 0:00,10/13/2022 9:00,
123456789,1598,4/29/2022 9:23,KF4,5/6/2022 10:09,55.709053,10.91136,10/12/2022 10:23,10/12/2022 10:23,1233,,,,,KF4O,2,,Bottom mooring,10/12/2022 10:23,10/13/2022 9:00,
123456789,1595,4/29/2022 9:14,KF5,5/6/2022 10:26,55.70954,10.96002,10/12/2022 10:41,10/12/2022 10:41,1790,,,,,KF5O,2,,Bottom mooring,10/12/2022 10:41,10/13/2022 9:00,
123456789,6609,12/2/2022 9:14,TREV2,12/6/2022 10:57,55.78542,12.64561,12/27/2022 0:00,12/27/2022 0:00,910,,,,,TREV2A,2,,Bottom mooring,12/23/2022 0:00,1/9/2023 9:00,
123456789,6604,12/2/2022 0:00,TREV3A,12/6/2022 11:14,55.78669,12.6436,5/12/2023 10:44,5/12/2023 10:44,1608,,,,,TREV3A,2,,Bottom mooring,5/22/2023 8:00,5/22/2023 8:00,
123456789,6601,12/2/2022 10:23,TREV32OOA,12/6/2022 12:48,55.81586,12.62955,5/12/2023 13:04,5/12/2023 13:04,156,,,,,TREV32OOA,2,,Bottom mooring,5/22/2023 8:00,5/22/2023 8:00,
